Opened /dev/ttyUSB1 as RX; baud=9600 parity=N stop=1 bits=8 frame_timeout=20.00ms
Opened /dev/ttyUSB0 as TX; baud=9600 parity=N stop=1 bits=8 frame_timeout=20.00ms
Time                Dir  Slave Func CRC    Check Data
-----------------------------------------------------
14:23:40.483  RX  0x00  0x86  --     --     -
14:23:41.733  TX  0x01  0x04  70 37  OK     01 00 00 02
14:23:41.762  RX  0x01  0x04  BC 01  OK     04 00 00 08 F3
14:23:41.774  TX  0x01  0x04  90 36  OK     01 06 00 02
14:23:41.809  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:23:41.816  TX  0x01  0x04  11 F4  OK     01 0E 00 02
14:23:41.841  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:23:41.859  TX  0x01  0x04  E1 CD  OK     00 1D 00 02
14:23:41.889  RX  0x01  0x04  7B 86  OK     04 00 00 00 06
14:23:43.447  TX  0x01  0x04  70 37  OK     01 00 00 02
14:23:43.551  RX  0x01  0x04  FD C3  OK     04 00 00 08 F4
14:23:43.573  TX  0x01  0x04  90 36  OK     01 06 00 02
14:23:43.599  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:23:43.616  TX  0x01  0x04  11 F4  OK     01 0E 00 02
14:23:43.647  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:23:43.659  TX  0x01  0x04  E1 CD  OK     00 1D 00 02
14:23:43.694  RX  0x01  0x04  7B 86  OK     04 00 00 00 06
14:23:45.159  TX  0x01  0x04  70 37  OK     01 00 00 02
14:23:45.180  RX  0x01  0x04  FD C3  OK     04 00 00 08 F4
14:23:45.202  TX  0x01  0x04  90 36  OK     01 06 00 02
14:23:45.228  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:23:45.246  TX  0x01  0x04  11 F4  OK     01 0E 00 02
14:23:45.276  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:23:45.289  TX  0x01  0x04  E1 CD  OK     00 1D 00 02
14:23:45.324  RX  0x01  0x04  7B 86  OK     04 00 00 00 06
14:23:46.874  TX  0x01  0x04  70 37  OK     01 00 00 02
14:23:46.906  RX  0x01  0x04  FD C3  OK     04 00 00 08 F4
14:23:46.916  TX  0x01  0x04  90 36  OK     01 06 00 02
14:23:46.938  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:23:46.962  TX  0x01  0x04  11 F4  OK     01 0E 00 02
14:23:47.001  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:23:47.011  TX  0x01  0x04  E1 CD  OK     00 1D 00 02
14:23:47.049  RX  0x01  0x04  7B 86  OK     04 00 00 00 06
14:23:48.587  TX  0x01  0x04  70 37  OK     01 00 00 02
14:23:48.631  RX  0x01  0x04  BC 01  OK     04 00 00 08 F3
14:23:48.639  TX  0x01  0x04  90 36  OK     01 06 00 02
14:23:48.679  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:23:48.687  TX  0x01  0x04  11 F4  OK     01 0E 00 02
14:23:48.727  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:23:48.737  TX  0x01  0x04  E1 CD  OK     00 1D 00 02
14:23:48.775  RX  0x01  0x04  7B 86  OK     04 00 00 00 06
14:23:50.302  TX  0x01  0x04  70 37  OK     01 00 00 02
14:23:50.357  RX  0x01  0x04  FD C3  OK     04 00 00 08 F4
14:23:50.370  TX  0x01  0x04  90 36  OK     01 06 00 02
14:23:50.404  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:23:50.413  TX  0x01  0x04  11 F4  OK     01 0E 00 02
14:23:50.437  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:23:50.456  TX  0x01  0x04  E1 CD  OK     00 1D 00 02
14:23:50.484  RX  0x01  0x04  7B 86  OK     04 00 00 00 06
14:23:52.016  TX  0x01  0x04  70 37  OK     01 00 00 02
14:23:52.050  RX  0x01  0x04  BC 01  OK     04 00 00 08 F3
14:23:52.060  TX  0x01  0x04  90 36  OK     01 06 00 02
14:23:52.082  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:23:52.103  TX  0x01  0x04  11 F4  OK     01 0E 00 02
14:23:52.130  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:23:52.146  TX  0x01  0x04  E1 CD  OK     00 1D 00 02
14:23:52.178  RX  0x01  0x04  7B 86  OK     04 00 00 00 06
14:23:53.730  TX  0x01  0x04  70 37  OK     01 00 00 02
14:23:53.759  RX  0x01  0x04  FD C3  OK     04 00 00 08 F4
14:23:53.773  TX  0x01  0x04  90 36  OK     01 06 00 02
14:23:53.807  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:23:53.816  TX  0x01  0x04  11 F4  OK     01 0E 00 02
14:23:53.839  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:23:53.858  TX  0x01  0x04  E1 CD  OK     00 1D 00 02
14:23:53.887  RX  0x01  0x04  7B 86  OK     04 00 00 00 06
