Opened /dev/ttyUSB1 as RX; baud=9600 parity=N stop=1 bits=8 frame_timeout=20.00ms
Opened /dev/ttyUSB0 as TX; baud=9600 parity=N stop=1 bits=8 frame_timeout=20.00ms
Time                Dir  Slave Func CRC    Check Data
-----------------------------------------------------
14:24:27.801  RX  0x00  0x84  --     --     -
14:24:28.018  TX  0x01  0x04  70 37  OK     01 00 00 02
14:24:28.057  RX  0x01  0x04  FD C9  OK     04 00 00 08 EC
14:24:28.072  TX  0x01  0x04  90 36  OK     01 06 00 02
14:24:28.121  RX  0x01  0x04  78 10  OK     04 00 00 06 4E
14:24:28.133  TX  0x01  0x04  11 F4  OK     01 0E 00 02
14:24:28.185  RX  0x01  0x04  FF DD  OK     04 00 00 0E 5C
14:24:28.203  TX  0x01  0x04  E1 CD  OK     00 1D 00 02
14:24:28.233  RX  0x01  0x04  7B 86  OK     04 00 00 00 06
14:24:28.248  TX  0x01  0x04  F1 F5  OK     01 08 00 02
14:24:28.281  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:24:28.300  TX  0x01  0x04  50 35  OK     01 0A 00 02
14:24:28.329  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:24:29.731  TX  0x01  0x04  70 37  OK     01 00 00 02
14:24:29.766  RX  0x01  0x04  BC 0B  OK     04 00 00 08 EB
14:24:29.775  TX  0x01  0x04  90 36  OK     01 06 00 02
14:24:29.894  RX  0x01  0x04  F9 D1  OK     04 00 00 06 4C
14:24:29.904  TX  0x01  0x04  11 F4  OK     01 0E 00 02
14:24:29.926  RX  0x01  0x04  BF DC  OK     04 00 00 0E 5F
14:24:29.946  TX  0x01  0x04  E1 CD  OK     00 1D 00 02
14:24:29.974  RX  0x01  0x04  7B 86  OK     04 00 00 00 06
14:24:29.990  TX  0x01  0x04  F1 F5  OK     01 08 00 02
14:24:30.022  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:24:30.033  TX  0x01  0x04  50 35  OK     01 0A 00 02
14:24:30.054  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:24:31.446  TX  0x01  0x04  70 37  OK     01 00 00 02
14:24:31.476  RX  0x01  0x04  FD C9  OK     04 00 00 08 EC
14:24:31.489  TX  0x01  0x04  90 36  OK     01 06 00 02
14:24:31.524  RX  0x01  0x04  79 D3  OK     04 00 00 06 4A
14:24:31.532  TX  0x01  0x04  11 F4  OK     01 0E 00 02
14:24:31.556  RX  0x01  0x04  BF DC  OK     04 00 00 0E 5F
14:24:31.574  TX  0x01  0x04  E1 CD  OK     00 1D 00 02
14:24:31.603  RX  0x01  0x04  7B 86  OK     04 00 00 00 06
14:24:31.619  TX  0x01  0x04  F1 F5  OK     01 08 00 02
14:24:31.651  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:24:31.662  TX  0x01  0x04  50 35  OK     01 0A 00 02
14:24:31.683  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:24:33.160  TX  0x01  0x04  70 37  OK     01 00 00 02
14:24:33.185  RX  0x01  0x04  BC 0B  OK     04 00 00 08 EB
14:24:33.202  TX  0x01  0x04  90 36  OK     01 06 00 02
14:24:33.233  RX  0x01  0x04  F8 12  OK     04 00 00 06 48
14:24:33.247  TX  0x01  0x04  11 F4  OK     01 0E 00 02
14:24:33.281  RX  0x01  0x04  7F DF  OK     04 00 00 0E 5A
14:24:33.290  TX  0x01  0x04  E1 CD  OK     00 1D 00 02
14:24:33.346  RX  0x01  0x04  7B 86  OK     04 00 00 00 06
14:24:33.354  TX  0x01  0x04  F1 F5  OK     01 08 00 02
14:24:33.377  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:24:33.397  TX  0x01  0x04  50 35  OK     01 0A 00 02
14:24:33.425  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:24:34.873  TX  0x01  0x04  70 37  OK     01 00 00 02
14:24:34.927  RX  0x01  0x04  FD C9  OK     04 00 00 08 EC
14:24:34.948  TX  0x01  0x04  90 36  OK     01 06 00 02
14:24:34.974  RX  0x01  0x04  F8 12  OK     04 00 00 06 48
14:24:34.997  TX  0x01  0x04  11 F4  OK     01 0E 00 02
14:24:35.022  RX  0x01  0x04  BE 1A  OK     04 00 00 0E 57
14:24:35.041  TX  0x01  0x04  E1 CD  OK     00 1D 00 02
14:24:35.070  RX  0x01  0x04  7B 86  OK     04 00 00 00 06
14:24:35.086  TX  0x01  0x04  F1 F5  OK     01 08 00 02
14:24:35.118  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:24:35.129  TX  0x01  0x04  50 35  OK     01 0A 00 02
14:24:35.150  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:24:36.587  TX  0x01  0x04  70 37  OK     01 00 00 02
14:24:36.620  RX  0x01  0x04  BC 0B  OK     04 00 00 08 EB
14:24:36.631  TX  0x01  0x04  90 36  OK     01 06 00 02
14:24:36.652  RX  0x01  0x04  79 D6  OK     04 00 00 06 46
14:24:36.675  TX  0x01  0x04  11 F4  OK     01 0E 00 02
14:24:36.700  RX  0x01  0x04  7F DA  OK     04 00 00 0E 56
14:24:36.718  TX  0x01  0x04  E1 CD  OK     00 1D 00 02
14:24:36.748  RX  0x01  0x04  7B 86  OK     04 00 00 00 06
14:24:36.762  TX  0x01  0x04  F1 F5  OK     01 08 00 02
14:24:36.796  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:24:36.805  TX  0x01  0x04  50 35  OK     01 0A 00 02
14:24:36.828  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:24:36.848  TX  0x01  0x04  D1 F7  OK     01 02 00 02
14:24:36.955  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:24:36.964  TX  0x01  0x04  31 F6  OK     01 04 00 02
14:24:37.003  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:24:37.015  TX  0x01  0x04  71 F2  OK     01 10 00 02
14:24:37.051  RX  0x01  0x04  7F DA  OK     04 00 00 0E 56
14:24:37.064  TX  0x01  0x04  D0 32  OK     01 12 00 02
14:24:37.099  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:24:37.119  TX  0x01  0x04  30 33  OK     01 14 00 02
14:24:37.147  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
